"id";"description";"EMO"
"1064548636916892";"Sachsen ist Deutschland und Deutschland ist Sachsen";"no"
"1065880866783669";"Sachsen hat mehr Mut zur Heimat,als die Politiker.";"no"
"1065842083454214";"Wenn keine Häuser mehr bombardiert würden, würden auch keine Häuser mehr brennen. Die Flüchtlinge blieben aus.";"no"
"1065868516784904";"Gutmenschen-Hirnverneblersprüche.......naja fällt niemand mehr drauf rein. Gutes kann auch nicht aus billigst gekauften Altparteienknechten entstehen.";"yes"
"1064356010269488";"Deutsch un frei woll ma sei, un da bleim ma a dobei, weil ma ärzgebirger sei!!!!
??????????????";"yes"
"1069076336464122";"Volker beck.  Komm zurück! Der merkt ja noch weniger.....     alter schwede....";"yes"
"1069221583116264";"Peter Freienhagen , du hast vollkommen recht! Aber ich glaube das ist vergebene Liebesmüh. Unserer Jugend geht das alles am A........ vorbei. Die haben keine richtigen Werte vermittelt bekommen und wir die Erwachsenen sind auch keine Vorbilder mehr, an die sich ein junger Mensch orientieren könnte. Das haben wir alle mächtig versaut!";"yes"
"1065882156783540";"Ich weiss gar nicht warum die so laut bellen,wer leute wie marinrichter filbinger in seiner partei hofiert hat soll doch heute nicht auf die jugend schimpfen. die haben von den alten  gelernt!";"yes"
"1065832636788492";"die Tatsachen müssen genannt werden, alles andere ist sonst Lug und Betrug am Bürger, Gewerkschaft ist eine Interessengemeinschaft von Arbeitnehmer die ihre Rechte im Arbeitsleben vertreten möchten das hat nichts mit der Politik im öffentlichen Bereich zu tun, das dort ab und an mal ähnliche Probleme herrschen müssen die Gewerkschaften nicht nutzen um die Arbeitnehmer für politische Zwecke der Parteien zu nutzen .";"no"
"1065849560120133";"Wir haben eine ausreichende Bildung und brauchen keine bevormundung von ehemaligen Stasimitarbeitern Hr.Tillich, Maas und co.";"no"
"1065811200123969";"Unsere Kinder können ruhig bis zu einer Stunde mit dem Bus zur Schule und zurück fahren, Hauptsache die Flüchtlinge sind gut untergebracht.";"yes"
"1064399073598515";"Doch Gabriele, aber hoffentlich wird sich das zeitnah deutlich ändern.";"no"
"1064370850268004";"Sachsen lasst Euch bloß nicht unterkriegen von den Versagerpolitikern und der Lügenpresse ??";"yes"
"1065803673458055";"Bevor unsere Kinder politische Bildung brauchen,  brauchen unsere Politiker erst mal eine Stunde Aufklärung über Demokratie! !! Nicht die Politiker haben das sagen, sondern das Volk! !!!";"yes"
"1064363103602112";"Das ist genau auf den Punkt gebracht.";"no"
"1064470026924753";"JEDE STIMME ZÄHLT! Die SVP-Initiative könnte alle historischen Rekorde brechen. Die Durchsetzungs-Initiative mobilisiert die Massen. In vielen Gemeinden haben bisher klar mehr Personen abgestimmt als üblich. Meine Empfehlung: 3 x JA ZUR VERNUNFT am 28. Februar 2016! SVP-Durchsetzungsinitiative: JA! Gotthardtunnel: JA! Abschaffung der Heiratsstrafe: JA! Die bürgerliche Mehrheit in der Schweiz sorgt jetzt für vernünftige Lösungen und mehr Sicherheit in unserem Land. NUR NOCH 2 TAGE BLEIBEN! Senden Sie heute per A-POST (bitte frankieren!) Ihr persönliches Abstimmungscouvert zum Wahlbüro! Oder geben Sie am Samstag und Sonntag persönlich Ihre Stimme an der Urne ab. Es wird sehr knapp; JEDE STIMME ZÄHLT!";"no"
"1064905916881164";"Beim Lesen der Kommentare kann man nur dümmer werden ????";"yes"
"1064358533602569";"ich bin nur ein halber Sachse ( halber Schlesier und halber Sachse). Aber nach dieser politischen Provokation wieder auf BAUTZEN usw, sitze ich fest im Sattel mit den Sachsen!!";"yes"
"1065850386786717";"http://www.epochtimes.de/politik/deutschland/pegida-amp-co-sperren-oder-loeschen-politischer-druck-auf-facebook-steigt-a1310325.html";"no"
"1065969503441472";"Er soll lieber dafür sorgen, dass in Dresden,  bedingt durch den ständigen Unterrichtsausfall, wir keine Teilzeit Schüler haben. Das der Unterricht lt. Lehrplan in Haupt und in
Nebenfächern den Kindern garantiert wird. Ich kann diese Grütze nicht mehr hören...";"yes"
"1065887196783036";"ich habe mich immer gezofft mit mein Staatsbürgerkunde Lehrer";"no"
"1065802840124805";"Politische Bildung heißt dann nichts weiter, als das alle mal wieder in nur eine Richtung gucken dürfen...";"yes"
"1066279683410454";"Brandstiftung???? denkt manchmal jemand an die Möglichkeit ,daß sich der Hausbesitzer vielleicht ""warm saniert "" haben könnte ?";"yes"
"1064655503572872";"Ich zieh mir Pegida ein bis nichts mehr geht, da merkt man das die Welt sich dreht...herzliche Grüße aus dem Erzgebirge, Freunde";"yes"
"1066041470100942";"To you my good friend who read my words a message of strength Islam is not a religion Islam is a sadistic and criminal apologia that worships violence, sadism the sumicion mutilation theft looting terrorism totalitarianism envy the hate death and lies Muslims use the simulation lies and blackmail to impose there where they arrive their aim is the conquest think of your country in your family in your freedom before it is too late do not believe in those cowardly politicians and traitors who shout that ISLAM iS PEACE lie and betray their people to their history and their heritage your moral duty to stop the destruction of your civilization outside Europe's Muslims around the West not a single mosque or a single Koran say no to barbarism say NO TO ISLAM¡¡¡¡¡¡";"yes"
"1066106730094416";"Ja wir brauchen eine politische bildung, ABER eine unzensierte-freie-unverfälschte darstellung der politik.";"no"
"1064441993594223";"Tilo, Ich bin vor 27 Jahren nicht mit Schildern rum gefahren , ich bin schon immer Parteilos gewesen und bin es noch Heute, die Politik in der DDR war auch nicht erträglich und bin vor 27 Jahren auch auf die Straße gegangen, aber was hier mit den Volk in Deutschland gemacht wird ist  ist eine Schande für die Leute die vor 27 Jahren auf die Straße gegangen sind...Du bist nicht der Einzigste der sich traut, jetzt auf die Straße zu gehen. Ich bin seit November 2014 fast jeden Montag und anderen Demos auf der Straße... Wenn Du mit mir ein Problem hast , dann schau in meine Chronik, ansonsten geh zum Arzt...";"yes"
"1069102966461459";"Links kennt  Kretschmann nur vom Straßenverkehr. Er ist ehe ein grün verwirrter Kleinbürger!";"yes"
"1069105233127899";"habe immer gedacht eine krähe hackt der anderen kein auge aus. aber wie die sich selber fertigmachen untereinander köstlich. jeder versucht noch linksradikaler zu sein wie der andere. das ist schon abstruz";"yes"
"1065883433450079";"Den Damen und Herren der linken Fraktion dann einen schönen Gruss: Gutes kann niemals aus Lüge und Gewalt entstehen.....schön brav an die eigene Nase fassen......und: Asylbeantrager die : ich weiss meinen Namen nicht und Pass einfach weg ist...sich mehrfach anmelden, rumpöbeln, vergewalttigen, steheln, rauben, zusammenschlagen,belästigen und Angst verbreiten sind als die GUTEN ????? Ihr habt se doch echt nicht mehr alle. Und Sachsen (ich komme übrignes NICHT aus Sachsen, also neutral ;-)  ) braucht BILDUNG ??? Hmmm...unsere Neuankömmlinge nicht ? WIR in Deutschland wissen was Recht und Unrecht ist und auch , das es IMMER auch bei uns solche Leute geben wird, die dann aber meistens auch bestraft werden (wenn auch manchmal nicht so wie es sein sollte bei Schändung, Tiermord, Quälerei, Brutalität, Tötungsdelikten)....aber : sie kennen die Gesetze unsere deutschen Mitbürger. .....der Rest: lassen wir dahingestellt, ob Bildung oder wenig oder eben garnicht. EINS fehlt auf JEDEN Fall da: der RESPEKT für die andere (unser hier in Deutschland ansässige) Kultur...egal ob Judentum, Christentum oder sonstiges FRIEDLICH ausgelebtes Brauch- und Religionstum.......";"yes"
"1066040990100990";"Warum überrascht es mich nicht, dass Pegida gegen politische Bildung an Schulen ist? 
Ein Schelm weder böses dabei denkt ;)";"yes"
"1064848076886948";"Ich bin stolz auf euch Sachsen,nicht nur das ihr die schönsten Mädels habt, nein ihr habt auch noch Vaterlandsstolz und kämpft dafür.
????????????????????????????????????????????????????????????????";"yes"
"1066481290056960";"Daniela ---- beides ist richtig!";"no"
"1065825680122521";"Politiker brauchen keine Aufklärung über Demokratie, die wissen genau daß es keine Demokratie ist, wenn ihre Entscheidungen und Gesetze vom Volk nicht verhindert werden können! Wenn die repräsentative Demokratie (gewählte Volksvertretung/Parlament=Gesetzgeber/dt.BUNDESTAG) über der direkten Demokratie (dem Willen aller wahlberechtigten Staatsbürger/Volk) steht, DANN ist es eine Oligarchie, eine ELITEN-DIKTATUR, eine Politiker-Diktatur! Die Wahl der richtigen Partei bringt nichts, wenn das Wahlrecht nicht demokratisch verändert wird! Es macht keinen Sinn wählen zu gehen in einem diktatorischen System, das merken immer mehr Menschen und gehen nicht mehr zur Wahl.";"no"
"1065834113455011";"Na Logo wählen ist Pflicht! !!! Ich gebe nicht auf, der Glaube stirbt zuletzt.";"yes"
"1069077889797300";"Einfach geil! Danke fürs Posten! Ich sehe mir diese tendenziöse Sendung ""Monitor"" seit Jahrzehnten nicht mehr an. Deshalb wußte ich nicht, was für Nachtschattengewächse die heute als ""Journalisten"" beschäftigen.";"yes"
"1069143589790730";"werde nie verstehen , das die meisten Menschen in Baden Würtemberg  immer noch die Grünen wählen wollen. Habt ihr kein Gewissen euren Kindern gegenüber?";"yes"
"1069136533124769";"Cemil Degirmenci  lies deine Link mal genau durch. Er stellt selber klar das das GG keine Verfassung ist,versucht aber sie als solche unter zujubeln.Womit ich deinen Informationshinweis mal an dich zurück gebe. und [@IND] neumann,wer Wiki als  vollwertige Quelle angibt,dem ist leider auch nicht wirklich zu helfen...und unsere ""Vefassung"" sagt dann im Art.120 aus,das wir Besatzungskosten zu tragen haben,weil wir  ja demnach was wären...wem zahlt man Besatzungskosten? richtig.... ja nee is klar...lasst euch mal weiter verarschen";"yes"
"1065847320120357";"Was versteht er unter politischer Bildung? Gegen politische Bildung ist nichts einzuwenden, wenn sie nicht einseitig erfolgt und lediglich manipulieren soll. Wenn man nun Tillich und Mitstreiter so reden hört, scheint diese Gefahr sehr nahe liegend!";"yes"
"1065820223456400";"Bei uns im Ort sind überwiegend Rentner als Flüchtlingshelfer tätig, denn es ist natürlich schön, in die Apotheke zu gehen und gegenüber den Angestellten mit einem Persilschein über alles zu stehen. Da kommen dann schon manchmal drohende Worte wie, haben sie etwa etwas gegen Flüchtlinge oder ein kleiner Nachsatz wie Nazis können wir in unserem Land nicht gebrauchen! Nun sind natürlich nicht alle Rentner so willkommensbesoffen, doch was fast alle aus der Generation 65 bis 80+ auszeichnet: Sie wählen fast alle stupide CDU und SPD!";"yes"
"1066205643417858";"Die Sachsen die sind helle das weiß die ganze Welt und sind sie mal nicht helle dann haben sie sich verstellt!";"no"
"1065828320122257";"Torsten";"no"
"1065910246780731";"Juliane Ende Und da fiel auch immer der Begriff ""SCHEINDEMOKRATIE"".(in Stabü)";"no"
"1066278033410619";"Michael Grimm  zur Entscheidung deiner Oma die  AfD zu wählen , kann ich nur sagen : gute Oma, liebe Oma!";"yes"
"1065979783440444";"Gisela Friebe  Richtig, Danke...";"no"
"1064441946927561";"Sachsen macht euch nichts daraus, früher hat man auf den Grünen rumgehackt, als sie noch gute Ideen hatten.";"no"
"1069142563124166";"Schaut hin, ihr jungen Menschen, diese ""alte Herrenriege"" bestimmt über eure Zukunft! Deren"" Zukunft "" liegt hinter ihnen und sie haben den größten Teil ihres Lebens gelebt. Und ihr schaut immer noch zu!!!!!!!!! Ihr und eure Kinder müssen dieses Leid ertragen! Steht doch endlich auf!";"yes"
"1064399096931846";"ehrlich, Alan?";"yes"
"1065875530117536";"Hildegard Müller Genau so ist es!!!";"no"
"1065859820119107";"Er braucht uns ja nur zu erklären, warum fast nur wehrfähige Männer kommen und warum die hier bleiben sollen? Obwohl Asyl ja nur solange geht bis der Krieg zu Ende ist. Warum will man uns Umvolken?";"yes"
"1066656310039458";"Richtig, rote Socke. früher hieß das Parteilahrjahr.";"no"
"1065824020122687";"Ohhh Staatsbürgerkunde kommt mir bekannt vor.....";"yes"
"1065932713445151";"Die Sachsen wollen kein Multikulti Herr Tillich, Multikulti ist gescheitert !!!!!";"yes"
"1064594276912328";"Es gibt noch viel zu viel, worüber nicht gesprochen werden darf und ES KOTZT MICH AN! PEGIDA und die AfD finden es nötig, sich ausgerechnet bei Israel einzuschleimen, wo es doch ausgerechnet jüdische Organisationen sind, die, wie mir scheint, mithilfe von Schuldgefühlen und moralischer Erpressung die Europäischen Länder mit Fremden überfluten und damit die Europäischen Länder und die Kulturen ihrer Völker zerstören... Übrigens gewann ich soeben den Eindruck, es scheint eine jüdische Organisation zu geben, die ihren Namen durch drei Buchstaben abkürzt, die bei Facebook, wie es soeben schien, einen ""Security Check"" provozieren, sobald sie in einem Kommentar erscheinen. Zumindest ist das soeben mir geschehen, weshalb ich einen ganzen Kommentar, der diese Reihe aus drei Buchstaben enthielt und offenbar deshalb einfach nicht einstellbar war, löschen musste, um quasi denselben, diesen Kommentar, ohne die ominöse Reihe dreier Buchstaben, nochmals zu schreiben und posten zu können.... Es ist offensichtlich, dass wir hier eine Plattform benutzen, die genau von den Deutsch feindlichen Kräften kontrolliert wird, denen wir mithilfe dieser Plattform entkommen wollen... Es ist einfach lachhaft, wäre es nicht so tödlich ernst...";"yes"
"1069164643121958";"?...";"no"
"1065926850112404";"mehr politische Schulbildung? Ich glaube, da bleiben die Klassenräume leer. Denn mein Kind wird sicher nicht an einer politischen Gehirnwäsche teilnehmen!";"yes"
"1065817270123362";"Das Sein bestimmt das Bewußtsein, Karl Marx, Staatsbürgerkunde DDR! Nicht Indoktrination verändert das Verhalten von Menschen, sondern ihre Lebensbedingungen bestimmen ihr Verhalten!";"no"
"1064921366879619";"Tilo Pusch zum Glück. (y)";"yes"
"1069128756458880";"Auc so eine fragwürdige Person";"no"
"1064518290253260";"Wo bleibt die Bescheidenheit? Denn diese ist eine Tugend! ;-)";"yes"
"1064377680267321";"Juliane Ende Was hast du raußgefunden?";"no"
"1069143743124048";"https://www.facebook.com/nika.kampagne/videos/1510447122596135/";"no"
"1064384613599961";"Ich habe auch Türken und Marrokaner als Freunde und da gibt es keine Probleme. Der Glaube und die Politik müssen strikt getrennt werden. Jeder kann seinen Glauben leben, aber nicht versuchen einem seinen Glauben überzustülpen. Das gibt nur Hass.";"no"
"1069077826463973";"nur zum Kotzen";"yes"
"1065895823448840";"Political education = Cultural Marxism and brainwashing";"no"
"1065806996791056";"Staatsbürgerkunde. Die DDR läßt grüßen. 40 Jahre DDR können nicht schlecht gewesen sein. Ha- Ha   Und eine Blockflöte  Tillich gibt den Unterricht.";"yes"
"1064370740268015";"willst du mich jetzt komplett verarschen? ich dachte der kommentar von charon kasten whatever analritter wäre schon die unterste stufe und dann kommst du hier angepimmelt und kriegst nicht einmal einen richtigen satz raus man!! ich kann mir beim besten willen nich zusammenreimen was du mir jetzt sagen willst! wie lange lebst du denn schon in deutschland? 3 wochen? ich kenne Asylanten die besser deutsch können als du!";"yes"
"1064634410241648";"Die Sachsen haben viel Unterstützung aus dem Ausland. Ich sage nur Polen oder Tschechien. Die Gutmenschen sind mittlerweile ein jämmerlicher Haufen. Sie sind mittlerweile in der Minderheit und ganz Europa schüttelt nur den Kopf über solch naiv kranke Menschen";"no"
"1065799113458511";"Das kenne ich von früher. Stabü. war total langweilig.!!!";"no"
"1064447860260303";"Ich bin zwar kein Fan vom ""Spiegel"" aber dieses mal haben sie sich sehr interessant damit auseinander gesetzt, warum in Dresden Pegida so erfolgreich ist, aber in Leipzig nicht.";"no"
"1065800806791675";"Ich erinnere Herrn Tillich daran, daß auch politische Bildung (Staatsbürgerkunde) in der DDR das Regime nicht gerettet hat! Und es wird euch diesmal auch nicht helfen!";"yes"
"1065841533454269";"neee - iss klar, - wenn die ethnische Umformung bissl holpert dann halt staatliche Umerziehung - wie bei Väterchen Stalin und Vattern Honecker ...";"yes"
"1064387480266341";"Es gibt viele Alan Levys. Ihr müsst euch nur finden und zusammenhalten.";"no"
"1065824590122630";"Die Herren Politiker sind in den abwarten Modus gewechselt: Wenn erst mal die nächsten 8-10 Milionen muslimische Einwanderer angekommen sind ist es irrelvant was die Altbevölkerung Denkt! Der Nannystaat der für den Bürger denkt und handelt";"yes"
"1065938206777935";"Danke Peter Dost!";"no"
"1065801540124935";"ein Sachse lässt sich eben keine Lügen so einfach gefallen und auftischen...";"no"
"1064379180267171";"Weil wir Sachsen uns niemals von den Geisteskranken Politikern; Vorschriften machen lassen. Die sind ja nur auf Ihr Ansehen in der Welt bedacht! ( IM Erika-Merkel)";"yes"
"1065819610123128";"Schaut euch das linke Gesindel doch an...Die Meisten ändern doch ihre Gesinnung,  wenn sie erstmal einer geregelten Arbeit nachgehen und ordentlich Steuern und Abgaben zahlen!  Dann merken sie, das man jahrelang schaffen kann und trotzdem nicht vom Fleck kommt!  ??????";"yes"
"1064380410267048";"Der Osten macht es vor. und wo bleibt der Westen?XD da ist ja schon alles verseucht bringt nix mehr.";"yes"
"1066196066752149";"Schwachöpfe";"yes"
"1065824936789262";"Die Forderung nach Veröffentlichung aller geheimen Akten über Deutschlands politische Vergangenheit scheint für diese Bildungsverweigerer keine Rolle zu spielen . Man will sich mit den alliierten Siegermächten nicht anlegen ! Die Aufarbeitung und Veröffentlichung soll dem Volk vorenthalten werden . Lügenpolitik zu Gunsten einer Scheindemokratie !!!!!!!!!!";"yes"
"1064593270245762";"https://www.youtube.com/watch?v=VpUv5S1k0VM";"no"
"1065826126789143";"Man du hast so recht! !!!??";"no"
"1065823743456048";"Ist wohl Umerziehung gemeint....";"no"
"1065863873452035";"Jetzt wird es komisch. Die Gehirnwäsche als letztes Mittel. Die Angst der Regierung vor dem Volk, treibt seltsame Blüten. Aber das ist das Ergebnis vom Ignoranz und Verleumdung.

Seltsam ist nur das, dass Aufbegehren 
des Ostdeutschen Volkes 89 als mutig und richtig bezeichnet wurde. Das gleiche Aufbegehren gegen Bevormundung, Überwachung, Selbstherrlichkeit und gegen diktatorische Züge heisst heute von den gleichen Leuten "" Rechts und Nazi"".";"yes"
"1065853190119770";"Unglaublich! ZDF will uns den RFID Chip schmackhaft machen!

Bereits vor 9 Monaten schrieb ich über diesen teuflischen Plan. Hier geht es zu meinem Artikel:http://www.macht-steuert-wissen.de/251/jeder-bekommt-einen-chip-implantiert-georg-orwells-vision-wird-realitaet/

https://www.youtube.com/watch?v=Fbu7YbbqZ9w&feature=youtu.be";"yes"
"1065897210115368";"und werden überall hin gefahren mit Taxi oder Bus";"no"
"1066007420104347";"Politische Schulbildung? Der Kasper kann ja mal politische und allgemeine Bildung an den Grenzübergängen anbieten! Auf dem Stundenplan bitte: Frauen gegen Ihren Willen belästigen,begrapschen und vergewaltigen? Nicht erlaubt! Steht unter Strafe! Illegale Grenzübertritte in Europa? Nicht erlaubt!  Zig Identitäten zum abkassieren von Leistungen aller Art? Nicht erlaubt! Islamisierung betreiben? Nicht erlaubt! Und damit er und seines gleichen noch was lernen,bitte CDU ,SPD und Grünen Politiker mitnehmen! Sich am Volkseigentum bereichern? Nicht erlaubt! Pädo freundliche Drecksäcke finanzieren und unterstützen? Nicht erlaubt!Gegen den Willen des Volkes regieren? Nicht erlaubt! Rentenkassen plündern? Nicht erlaubt! Kinder und Altersarmut zulassen? Nicht erlaubt! Selbst Diäten schamlos erhöhen? Nicht erlaubt!Unfassbar welche Arschlöcher momentan in diesem Land Scheiße reden dürfen!";"yes"
"1069086469796442";"https://www.youtube.com/watch?v=zxjMWVg4Eno";"no"
"1065834123455010";"die Linken haben in den 90ern auf mein Auto, welches in Kreuzberg geparkt war, ein Anarchie-Symbol gekratzt und das bei einem Arbeiter, denkt nicht das die sich für Recht und Ordnung einsetzen.";"yes"
"1069081123130310";"was faselt dieser Mann denn permanent von der Verfassung? Von was für einer Verfassung fabuliert er denn? Doch nicht etwa von der deutschen? Die vor der Weimarer Republik..oder meint er diesmal wieder fälschlich und propagandistisch das GRUNDGESETZ,was ja schon deswegen nicht Verfassung heißt,weil es eben GRUNDGESETZ namentlich betitelt wird.";"yes"
"1065856720119417";"Sachsen braucht also mehr""Gutmensch-Propaganda""? Auf keinen Fall, die Sachsen sind ein leuchtendes Beispiel für uns alle wie man sich richtig zur Wehr setzt! Respekt!";"yes"
"1066592630045826";"Ich kenne bei dieser Politik die hier gemacht wird nur einen Spruch und der geht so. Politik ist eine Hure, du kannst machen was du willst solange du Bezahlst!!!";"yes"
"1065802323458190";"da hab ich immer geschlafen :)";"yes"
"1064408500264239";"Torsten Martin- selten so gelacht :v";"yes"
"1065848556786900";"http://m.spiegel.de/schulspiegel/a-927282.html";"no"
"1066286640076425";"Gerhard Koller Fakt ist ,unsere Allgemeinbildung kann sich sehen lassen. So viele Analphabeten wie es im Westen gibt, gab es bei uns nie! Und wenn waren es geistig Behinderte.";"no"
"1065835766788179";"Gisela Friebe Ich bin auch der Meinung, dass sich viele Rentner von den Altparteien abwenden. Schaut man sich bei den Demos von PEGIDA und AfD um, so sind doch sehr viele ältere Menschen dabei.";"no"
"1069175566454199";"Kretschmann ist ein Linker durch und durch. Anhänger des Menschenschlächters Mao Tse Tung, der für über 50 Millionen Tote (!) in Friedenszeiten verantwortlich ist.
Kretschman und Konsorten sind die größte Gefahr für einen wirklichen Rechtstaat.";"yes"
"1064387276933028";"Angy Day: vielleicht ich bin die Ausnahme. Ehrlich gesagt, ich liebe Deutschland, und ich respektiere es. Das 95% der Flüchtlingen sind undankbar, ich gehöre im 5%. 

Liebe grüße!";"yes"
"1064361840268905";"Alessandro Gentile, gefällt mir, was Du schreibst.Ist BaWü nicht das Bundesland, das so rot grün vers......ist?";"no"
"1066007663437656";"Da stimme ich dir voll und ganz zu!!!";"no"
"1065896900115399";"Michael Grimm  ja die hässliche Fratze! Warum sehen das so wenige Mensche? Denen im Westen ging es doch nur gut ,weil es uns gab. Die ganzen Konsumgüter die wir zusätzlich in den Kombinaten produziert haben für den Westen. Wir 16 Millionen Einwohner waren tüchtige Arbeiter, mit dem bisschen was wir hatten! Ich will das System von Damals nicht preisen, denn so ging es auch nicht weiter! Jedoch was jetzt abgeht ist der schiere Wahnsinn!";"yes"
"1065827996788956";"Politiker sollten mal bei sich selbst anfangen.  Das ist ein freies Land also darf man auch rechts eingestellt sein.";"no"
"1069103569794732";"Mal ganz ehrlich, der Herr Kretschmann kommt mir sehr verdächtig vor , entweder ist er etwas verwirrt oder aber er nimmt auch solche guten Mittelchen ala Volker Beck ! Er kann Fragen nicht folgen, gibt merkwürdige Antworten, ja holla die Waldfee, und solche Menschen regieren ein Bundesland, nee danke , wer diese Leute an die Macht gebracht ist auch irgendwie nicht ganz bei Trost, noch dazu diese Kompost Partei, die sollte schnell entsorgt werden, besser ist das .";"yes"
"1069165989788490";"Wie kompetent, der weiss nur, dass er grün ist?!?";"yes"
"1065839686787787";"#Conny Gleu Was bringt ungültig wählen und wie werden nicht gewählte Stimmen aufgeteilt? Können Sie mir das bitte erklären, ich verstehe es noch nicht?";"no"
"1065853216786434";"Also ich sehe bei den Demos der AfD in Erfurt viele Rentner, die bei Wind und Wetter dort erscheinen. Sicher gibt es welche, die aus Gewohnheit CDU und SPD wählen, aber das sind längst nicht alle.";"no"
"1065813310123758";"Wenn man Politik mit dem Volk, für das Volk macht, hat man ""politische Bildung"" nicht notwendig! Mittlerweile weiß jeder mündige Bürger, was er von diesem ""Staat"" zu halten hat! Wenn die jetzige Politik, nach altem SED-Stil, ""Augen zu und durch"", weiter praktiziert wird, ist eine Eskalation der Lage absehbar. Und das nicht nur in Sachsen, sondern bundesweit!";"yes"
"1065802966791459";"Wir brauchen eine neue Politik";"no"
"1065828656788890";"Was wir hier benötigen ist das Recht auf Meinungsfreiheit....";"no"
"1064443133594109";"Wir sind ein Land... Gemeinsam sind wir Stark...";"no"
"1069080809797008";"Der gehört doch der gleichen Partei an wie dieser Beck...oder?...ach ja...man hört es doch auch!!! Könnte es sein, dass sein Lieferant in Verzug ist? Wer wählt eigentlich solche Leute...???";"yes"
"1064698556901900";"Josef Tinius Ist doch für uns Ossis selbstverständlich.";"no"
"1064440160261073";"Na ja, die Uni Leipzig hat halt alle Wessie-Versager, die keine Studienzulassung an anderen Unis bekamen, in den 90-ern aufgenommen. Jetzt ham wir den Salat.";"yes"
"1064996736872082";"Gerry Zuhlig  Der Erste Weltkrieg 17 Millionen Tote (verursacht durch Nicht-Muslime)
2. Der Zweite Weltkrieg 50-55000000 tot (verursacht durch Nicht-Muslime)
3. Nagasaki Atombomben 200.000 Tote (verursacht durch Nicht-Muslime)
4. Der Krieg in Vietnam mehr als 5 Millionen Tote (verursacht durch Nicht-Muslime)
5. Der Krieg in Bosnien / Kosovo mehr als 500.000 Toten (verursacht Nicht-Muslime)
6. Krieg im Irak (bisher) 1.200.000 Todesfälle (verursacht Nicht-Muslime)
7. Afghanistan, Burma usw. (verursacht durch Nicht-Muslime)
Du denkst immer noch, dass der Islam ist das Problem ?!
Und wenn zu ihnen gesagt wird: ""verursachen keine Korruption auf der Erde"", sagen sie: ""Wir sind Friedensmacher, aber Reformer."" [02.11]";"yes"
